n=2


 AverageNumOccupiedChannels | ChanceService | AverageLengthWaiting |

                            |               |                      |

            1,734           |      0,155    |         0,447        |

            1,734           |      0,156    |         0,446        |

            1,734           |      0,156    |         0,446        |

            1,736           |      0,155    |         0,447        |

            1,733           |      0,156    |         0,445        |

            1,736           |      0,155    |         0,447        |

            1,734           |      0,156    |         0,446        |

            1,731           |      0,156    |         0,445        |

            1,736           |      0,156    |         0,445        |

            1,731           |      0,156    |         0,447        |

                            |               |                      |
            1,734           |      0,156    |         0,446        |
n=3


 AverageNumOccupiedChannels | ChanceService | AverageLengthWaiting |

                            |               |                      |

            2,338           |      0,218    |         0,305        |

            2,339           |      0,217    |         0,306        |

            2,337           |      0,217    |         0,307        |

            2,339           |      0,217    |         0,308        |

            2,339           |      0,217    |         0,308        |

            2,336           |      0,218    |         0,306        |

            2,335           |      0,218    |         0,306        |

            2,340           |      0,217    |         0,308        |

            2,337           |      0,217    |         0,308        |

            2,337           |      0,217    |         0,307        |

                            |               |                      |
            2,338           |      0,217    |         0,307        |
n=4


 AverageNumOccupiedChannels | ChanceService | AverageLengthWaiting |

                            |               |                      |

            2,799           |      0,267    |         0,199        |

            2,799           |      0,268    |         0,195        |

            2,808           |      0,267    |         0,197        |

            2,802           |      0,266    |         0,199        |

            2,802           |      0,267    |         0,197        |

            2,792           |      0,268    |         0,194        |

            2,810           |      0,266    |         0,200        |

            2,797           |      0,267    |         0,200        |

            2,799           |      0,267    |         0,198        |

            2,810           |      0,266    |         0,198        |

                            |               |                      |
            2,802           |      0,267    |         0,198        |
n=4


 AverageNumOccupiedChannels | ChanceService | AverageLengthWaiting |

                            |               |                      |

            3,153           |      0,310    |         0,377        |

            3,155           |      0,311    |         0,374        |

            3,156           |      0,309    |         0,377        |

            3,154           |      0,311    |         0,374        |

            3,152           |      0,310    |         0,375        |

            3,150           |      0,311    |         0,374        |

            3,157           |      0,309    |         0,378        |

            3,149           |      0,310    |         0,376        |

            3,147           |      0,311    |         0,374        |

            3,153           |      0,310    |         0,376        |

                            |               |                      |
            3,153           |      0,310    |         0,375        |
n=4


 AverageNumOccupiedChannels | ChanceService | AverageLengthWaiting |

                            |               |                      |

            2,283           |      0,490    |         0,118        |

            2,283           |      0,490    |         0,119        |

            2,283           |      0,489    |         0,119        |

            2,282           |      0,489    |         0,119        |

            2,280           |      0,490    |         0,119        |

            2,276           |      0,491    |         0,117        |

            2,282           |      0,491    |         0,116        |

            2,282           |      0,489    |         0,119        |

            2,284           |      0,490    |         0,118        |

            2,280           |      0,491    |         0,117        |

                            |               |                      |
            2,282           |      0,490    |         0,118        |
